切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
來開青平	來母	開		青韻	平聲	舌		次濁	四	青	梗	外	ㄥ尾	1	0		l		e		ng
透添去	透母			添韻	去聲	舌	端	次清	四	鹽	咸	外	ㄇ尾	1	1		th		e	̃	m
透覃去	透母			覃韻	去聲	舌	端	次清	一	覃	咸	外	ㄇ尾	1	1		th		v	̃	m
影欣上	影母			欣韻	上聲	喉	影	全清	三	文	臻	外	ㄣ尾	1	1		v		y	̇	n
影開微平	影母	開		微韻	平聲	喉	影	全清	三	微	止	内	ㄟ尾	1	0		v		ui		
來侵上	來母			侵韻	上聲	舌		次濁	三	侵	深	内	ㄇ尾	1	1		l		i	̇	m
章開眞上	章母	開		眞韻	上聲	齒	章	全清	三	真	臻	外	ㄣ尾	1	1		t		i	̇	n
定開泰去	定母	開		泰韻	去聲	舌	端	全濁	一	齊	蟹	外	ㄟ尾	1	1		d		a	̃	
溪嚴去	溪母			嚴韻	去聲	牙	見	次清	三	鹽	咸	外	ㄇ尾	1	1		kh		am	̃	m
知合眞入	知母	合		眞韻	入聲	舌	知	全清	三	真	臻	外	ㄣ尾	0	1		t		i		n
影肴去	影母			肴韻	去聲	喉	影	全清	二	肴	效	外	ㄡ尾	1	1		v		a	̃	
心三東入	心母			三東韻	入聲	齒	精	全清	三	東	通	内	ㄥ尾	0	1		s		uo		ng
書開眞平	書母	開		眞韻	平聲	齒	章	全清	三	真	臻	外	ㄣ尾	1	0		x		i		n
端添入	端母			添韻	入聲	舌	端	全清	四	鹽	咸	外	ㄇ尾	0	1		t		e		m
心一東入	心母			一東韻	入聲	齒	精	全清	一	東	通	内	ㄥ尾	0	1		s		o		ng
書鍾入	書母			鍾韻	入聲	齒	章	全清	三	冬	通	内	ㄥ尾	0	1		x		u		ng
以開祭去	以母	開		祭韻	去聲	喉		次濁	三	齊	蟹	外	ㄟ尾	1	1		y		e	̃	
徹開祭去	徹母	開		祭韻	去聲	舌	知	次清	三	齊	蟹	外	ㄟ尾	1	1		th		e	̃	
以開蒸去	以母	開		蒸韻	去聲	喉		次濁	三	蒸	曾	内	ㄥ尾	1	1		y		y	̃	ng
幫二庚上	幫母			二庚韻	上聲	唇	幫	全清	二	庚	梗	外	ㄥ尾	1	1		p		a	̇	ng
以開支去	以母	開		支韻	去聲	喉		次濁	三	支	止	内	ㄟ尾	1	1		y		e	̃	
來開齊去	來母	開		齊韻	去聲	舌		次濁	四	齊	蟹	外	ㄟ尾	1	1		l		e	̃	
匣魂平	匣母			魂韻	平聲	喉	影	全濁	一	元	臻	外	ㄣ尾	1	0		g		o		n
疑魂平	疑母			魂韻	平聲	牙	見	次濁	一	元	臻	外	ㄣ尾	1	0		ng		o		n
以開陽去	以母	開		陽韻	去聲	喉		次濁	三	陽	宕	内	ㄥ尾	1	1		y		a	̃	ng
孃咸入	孃母			咸韻	入聲	舌	知	次濁	二	咸	咸	外	ㄇ尾	0	1		n		e		m
崇尤去	崇母			尤韻	去聲	齒	莊	全濁	三	尤	流	内	ㄡ尾	1	1		z		u	̃	
莊虞平	莊母			虞韻	平聲	齒	莊	全清	三	虞	遇	内	ㄡ尾	1	0		c		uo		
從開眞入	從母	開		眞韻	入聲	齒	精	全濁	三	真	臻	外	ㄣ尾	0	1		z		i		n
明山入	明母			山韻	入聲	唇	幫	次濁	二	刪	山	外	ㄣ尾	0	1		m		e		n
崇肴上	崇母			肴韻	上聲	齒	莊	全濁	二	肴	效	外	ㄡ尾	1	1		z		a	̇	
日開仙上	日母	開		仙韻	上聲	齒	章	次濁	三	先	山	外	ㄣ尾	1	1		n		e	̇	n
書開仙上	書母	開		仙韻	上聲	齒	章	全清	三	先	山	外	ㄣ尾	1	1		x		e	̇	n
溪開齊上	溪母	開		齊韻	上聲	牙	見	次清	四	齊	蟹	外	ㄟ尾	1	1		kh		e	̇	
明虞上	明母			虞韻	上聲	唇	幫	次濁	三	虞	遇	内	ㄡ尾	1	1		m		uo	̇	
曉銜去	曉母			銜韻	去聲	喉	影	全清	二	咸	咸	外	ㄇ尾	1	1		h		a	̃	m
生侵入	生母			侵韻	入聲	齒	莊	全清	三	侵	深	内	ㄇ尾	0	1		s		i		m
心開支平	心母	開		支韻	平聲	齒	精	全清	三	支	止	内	ㄟ尾	1	0		s		e		
羣合清平	羣母	合		清韻	平聲	牙	見	全濁	三	庚	梗	外	ㄥ尾	1	0		g		e		ng
透開寒入	透母	開		寒韻	入聲	舌	端	次清	一	寒	山	外	ㄣ尾	0	1		th		a		n
定一東入	定母			一東韻	入聲	舌	端	全濁	一	東	通	内	ㄥ尾	0	1		d		o		ng
常鍾入	常母			鍾韻	入聲	齒	章	全濁	三	冬	通	内	ㄥ尾	0	1		d		u		ng
影欣去	影母			欣韻	去聲	喉	影	全清	三	文	臻	外	ㄣ尾	1	1		v		y	̃	n
影魂上	影母			魂韻	上聲	喉	影	全清	一	元	臻	外	ㄣ尾	1	1		v		o	̇	n
明元入	明母			元韻	入聲	唇	幫	次濁	三	元	山	外	ㄣ尾	0	1		m		a		n
明先入	明母			先韻	入聲	唇	幫	次濁	四	先	山	外	ㄣ尾	0	1		m		e		n
泥蕭上	泥母			蕭韻	上聲	舌	端	次濁	四	蕭	效	外	ㄡ尾	1	1		n		e	̇	
匣開皆去	匣母	開		皆韻	去聲	喉	影	全濁	二	佳	蟹	外	ㄟ尾	1	1		g		ei	̃	
滂三東平	滂母			三東韻	平聲	唇	幫	次清	三	東	通	内	ㄥ尾	1	0		ph		uo		ng
心開仙平	心母	開		仙韻	平聲	齒	精	全清	三	先	山	外	ㄣ尾	1	0		s		e		n
從合仙平	從母	合		仙韻	平聲	齒	精	全濁	三	先	山	外	ㄣ尾	1	0		z		e		n
來開陽上	來母	開		陽韻	上聲	舌		次濁	三	陽	宕	内	ㄥ尾	1	1		l		a	̇	ng
見魂入	見母			魂韻	入聲	牙	見	全清	一	元	臻	外	ㄣ尾	0	1		k		o		n
邪合脂去	邪母	合		脂韻	去聲	齒	精	全濁	三	支	止	内	ㄟ尾	1	1		zs		i	̃	
